doculect,glottologFamily,iso,population,latitude,longitude,continent,nPhonemes
GUNWINGGU_KUNINJKU,Gunwinyguan,gup,1220,-12.5,133.75,Oceania,24
KALA_LAGGAW_YA,Pama-Nyungan,mwp,1210,-10.12,142.12,Oceania,24
NAMUMI,Fasu,faa,1200,-6.58,143.33,Oceania,21
CHIPAYA,Uru-Chipaya,cap,1200,-19.0,-68.4,SouthAmerica,51
ST_LAWRENCE_YUPIK,Eskimo-Aleut,ess,1200,63.5,-170.5,NorthAmerica,36
DUPANINGAN_AGTA,Austronesian,duo,1200,17.83,122.17,Oceania,20
WAYAMPI,Tupian,oym,1180,1.0,-52.0,SouthAmerica,25
MACUNA,Tucanoan,myy,1170,-0.33,-70.17,SouthAmerica,22
SECOYA,Tucanoan,sey,1170,-0.33,-76.0,SouthAmerica,18
KAXINAWA,Pano-Tacanan,cbs,1150,-10.5,-71.83,SouthAmerica,23
YURUTI,Tucanoan,yui,1150,1.0,-70.42,SouthAmerica,17
CANDOSHI,Candoshi-Shapra,cbu,1120,-4.17,-77.0,SouthAmerica,27
DIME,South_Omotic,dim,1100,6.17,36.25,Africa,73
HUARAYO_ESE_EJJA,Pano-Tacanan,ese,1090,-11.9,-70.45,SouthAmerica,21
MAXINERI,Arawakan,mpd,1080,-10.67,-70.25,SouthAmerica,18
TIWA_NORTHERN_TAOS,Kiowa-Tanoan,twf,1070,36.5,-105.5,NorthAmerica,38
BURARRA,Maningrida,bvr,1070,-12.25,134.58,Oceania,21
WIK_MUNGKAN,Pama-Nyungan,wim,1060,-13.92,141.75,Oceania,23
DOLGAN,Turkic,dlg,1050,71.25,98.0,Asia,42
SELKUP,Uralic,sel,1020,65.0,82.0,Europe,34
SURUI_DO_RONDONIA,Tupian,sru,1010,-10.97,-61.13,SouthAmerica,29
KUIKURO,Cariban,kui,1010,-12.08,-53.08,SouthAmerica,26
ARANDAI_SEBYAR,South_Bird's_Head_Family,jbj,1000,-2.08,133.0,Oceania,18
GUAYABERO,Guahiboan,guo,1000,2.83,-72.0,SouthAmerica,22
WESTERN_ARRERNTE,Pama-Nyungan,are,1000,-24.0,132.5,Oceania,29
NGAANYATJARRA,Pama-Nyungan,ntj,1000,-26.0,126.5,Oceania,23
KAYABI,Tupian,kyz,1000,-10.92,-57.42,SouthAmerica,24
ACHE,Tupian,guq,1000,-25.25,-55.17,SouthAmerica,21
